#1
cat processes.dat | parallel -j 5,1,28.4400,78.7037,103.1929,8121.6715,5883.3370
cat processes.dat | parallel -j 5,2,28.4400,78.1753,103.3903,8082.5677,5859.2627
cat processes.dat | parallel -j 5,3,28.4400,77.7055,104.2935,8104.1811,5894.2362
cat processes.dat | parallel -j 5,4,28.4400,78.7044,102.9372,8101.6045,5863.2526
cat processes.dat | parallel -j 5,5,28.4400,78.3808,102.6368,8044.7550,5815.6044
cat processes.dat | parallel -j 5,6,28.4400,79.6983,102.1646,8142.3396,5875.7205
cat processes.dat | parallel -j 5,7,28.4400,78.7023,102.6635,8079.8475,5841.5549
cat processes.dat | parallel -j 5,8,28.4400,79.1924,102.0847,8084.3298,5832.0989
cat processes.dat | parallel -j 5,9,28.4400,77.1968,103.5176,7991.2267,5795.7509
cat processes.dat | parallel -j 5,10,28.4400,78.7015,102.7526,8086.7825,5848.5114
cat processes.dat | parallel -j 5,11,28.4400,79.1935,102.2650,8098.7203,5846.4573
cat processes.dat | parallel -j 5,12,28.4400,78.1984,103.2123,8071.0317,5847.0697
cat processes.dat | parallel -j 5,13,28.4400,79.7143,102.2285,8149.0675,5881.9940
cat processes.dat | parallel -j 5,14,28.4400,78.2157,102.6168,8026.2379,5801.7848
cat processes.dat | parallel -j 5,15,28.4400,79.7122,102.1816,8145.1242,5878.1091
cat processes.dat | parallel -j 5,16,28.4400,79.1930,102.0217,8079.4006,5827.1518
cat processes.dat | parallel -j 5,17,28.4400,77.6952,103.2416,8021.3704,5811.7198
cat processes.dat | parallel -j 5,18,28.4400,77.6979,103.4682,8039.2563,5829.5292
cat processes.dat | parallel -j 5,19,28.4400,78.2080,103.4690,8092.1110,5867.8741
cat processes.dat | parallel -j 5,20,28.4400,79.1852,102.1796,8091.1155,5839.0879
cat processes.dat | parallel -j 5,21,28.4400,79.7162,101.8576,8119.7053,5852.5752
cat processes.dat | parallel -j 5,22,28.4400,77.2006,104.6124,8076.1397,5880.5551
cat processes.dat | parallel -j 5,23,28.4400,77.6975,103.4305,8036.2957,5826.5780
cat processes.dat | parallel -j 5,24,28.4400,77.7035,104.2162,8097.9622,5888.0758
cat processes.dat | parallel -j 5,25,28.4400,78.1688,103.3600,8079.5237,5856.4040
cat processes.dat | parallel -j 5,26,28.4400,78.1839,103.5639,8097.0296,5873.4789
cat processes.dat | parallel -j 5,27,28.4400,78.2034,103.8955,8124.9804,5900.8756
cat processes.dat | parallel -j 5,28,28.4400,77.6671,103.4604,8035.4669,5826.6150
cat processes.dat | parallel -j 5,29,28.4400,77.6584,103.7773,8059.1769,5850.5720
cat processes.dat | parallel -j 5,30,28.4400,79.7019,102.2861,8152.3902,5885.6694
cat processes.dat | parallel -j 5,31,28.4400,79.6946,102.1114,8137.7293,5871.2141
cat processes.dat | parallel -j 5,32,28.4400,78.2065,103.2806,8077.2147,5853.0227
cat processes.dat | parallel -j 5,33,28.4400,79.2073,102.5102,8119.5602,5866.9033
cat processes.dat | parallel -j 5,34,28.4400,78.6884,102.5468,8069.2389,5831.3420
cat processes.dat | parallel -j 5,35,28.4400,78.7023,103.4814,8144.2300,5905.9352
cat processes.dat | parallel -j 5,36,28.4400,78.1732,103.2897,8074.4800,5851.2354
cat processes.dat | parallel -j 5,37,28.4400,78.1864,102.9071,8045.9378,5822.3159
cat processes.dat | parallel -j 5,38,28.4400,77.6945,103.7571,8061.3568,5851.7259
cat processes.dat | parallel -j 5,39,28.4400,77.7019,103.6617,8054.7145,5844.8713
cat processes.dat | parallel -j 5,40,28.4400,78.2070,103.1045,8063.4993,5839.2910
cat processes.dat | parallel -j 5,41,28.4400,78.7076,102.6224,8077.1621,5838.7189
cat processes.dat | parallel -j 5,42,28.4400,77.1989,103.7830,8011.9319,5816.3957
cat processes.dat | parallel -j 5,43,28.4400,77.6641,103.6331,8048.5778,5839.8094
cat processes.dat | parallel -j 5,44,28.4400,79.1888,102.1631,8090.1671,5838.0384
cat processes.dat | parallel -j 5,45,28.4400,78.7116,102.9641,8104.4680,5865.9105
cat processes.dat | parallel -j 5,46,28.4400,77.6937,103.8506,8068.5414,5858.9325
cat processes.dat | parallel -j 5,47,28.4400,79.1935,102.6618,8130.1467,5877.8833
cat processes.dat | parallel -j 5,48,28.4400,77.6947,103.9026,8072.6860,5863.0474
cat processes.dat | parallel -j 5,49,28.4400,78.1741,103.0213,8053.5975,5830.3258
#6
cat processes.dat | parallel -j 6,0,28.4400,78.7171,102.5936,8075.8673,5837.1537
cat processes.dat | parallel -j 6,1,28.4400,78.7015,102.9929,8105.7024,5867.4310
cat processes.dat | parallel -j 6,2,28.4400,78.6897,102.6186,8075.0305,5837.0942
cat processes.dat | parallel -j 6,3,28.4400,79.2066,103.0121,8159.2414,5906.6049
cat processes.dat | parallel -j 6,4,28.4400,77.1055,104.4954,8057.1704,5864.2898
cat processes.dat | parallel -j 6,5,28.4400,78.1795,103.1348,8063.0328,5839.6071
cat processes.dat | parallel -j 6,6,28.4400,78.2044,103.2581,8075.2319,5851.0996
cat processes.dat | parallel -j 6,7,28.4400,77.7005,104.1006,8088.6684,5878.8673
cat processes.dat | parallel -j 6,8,28.4400,78.2053,102.7961,8039.1994,5815.0414
cat processes.dat | parallel -j 6,9,28.4400,78.6811,102.9583,8100.8798,5863.1879
cat processes.dat | parallel -j 6,10,28.4400,78.2068,103.1006,8063.1691,5838.9683
cat processes.dat | parallel -j 6,11,28.4400,79.2156,102.3299,8106.1306,5853.2380
cat processes.dat | parallel -j 6,12,28.4400,78.7072,103.3635,8135.4517,5897.0181
cat processes.dat | parallel -j 6,13,28.4400,79.2148,102.1439,8091.3086,5838.4408
cat processes.dat | parallel -j 6,14,28.4400,78.6805,102.8692,8093.8026,5856.1292
cat processes.dat | parallel -j 6,15,28.4400,77.7018,103.0708,8008.7878,5798.9478
cat processes.dat | parallel -j 6,16,28.4400,79.3251,103.5923,8217.4745,5961.4675
cat processes.dat | parallel -j 6,17,28.4400,79.1943,101.9936,8077.3151,5825.0289
cat processes.dat | parallel -j 6,18,28.4400,78.7023,103.0859,8113.0943,5874.8017
cat processes.dat | parallel -j 6,19,28.4400,79.1910,102.3975,8108.9571,5856.7649
cat processes.dat | parallel -j 6,20,28.4400,78.2064,102.8852,8046.2772,5822.0875
cat processes.dat | parallel -j 6,21,28.4400,78.7018,103.0378,8109.2583,5870.9801
cat processes.dat | parallel -j 6,22,28.4400,78.6894,102.7474,8085.1294,5847.2042
cat processes.dat | parallel -j 6,23,28.4400,78.7024,103.4250,8139.7959,5901.4996
cat processes.dat | parallel -j 6,24,28.4400,78.6793,103.3353,8130.3410,5892.7030
cat processes.dat | parallel -j 6,25,28.4400,78.6882,102.4026,8057.8735,5819.9811
cat processes.dat | parallel -j 6,26,28.4400,78.2004,103.2413,8073.5126,5849.4925
cat processes.dat | parallel -j 6,27,28.4400,78.1695,103.4245,8084.6376,5861.4985
cat processes.dat | parallel -j 6,28,28.4400,78.6900,102.9179,8098.6103,5860.6676
cat processes.dat | parallel -j 6,29,28.4400,78.1988,103.4432,8089.1371,5865.1629
cat processes.dat | parallel -j 6,30,28.4400,77.1690,103.5954,7994.3572,5799.6703
cat processes.dat | parallel -j 6,31,28.4400,79.2154,102.6854,8134.2596,5881.3740
cat processes.dat | parallel -j 6,32,28.4400,79.7154,102.5190,8172.3412,5905.2354
cat processes.dat | parallel -j 6,33,28.4400,77.1988,104.1889,8043.2569,5847.7231
cat processes.dat | parallel -j 6,34,28.4400,77.6727,103.9201,8071.7611,5862.7484
cat processes.dat | parallel -j 6,35,28.4400,78.7101,102.4487,8063.7513,5825.2354
cat processes.dat | parallel -j 6,36,28.4400,78.7063,103.3628,8135.3017,5896.8955
cat processes.dat | parallel -j 6,37,28.4400,79.1867,102.7822,8138.9805,5886.9108
cat processes.dat | parallel -j 6,38,28.4400,78.7108,102.9212,8101.0108,5862.4744
cat processes.dat | parallel -j 6,39,28.4400,76.6580,104.8395,8036.7844,5856.6309
cat processes.dat | parallel -j 6,40,28.4400,78.6743,102.6654,8077.1231,5839.6271
cat processes.dat | parallel -j 6,41,28.4400,77.7120,104.1929,8097.0321,5886.9037
cat processes.dat | parallel -j 6,42,28.4400,78.6722,102.9494,8099.2527,5861.8153
cat processes.dat | parallel -j 6,43,28.4400,78.1866,102.8265,8039.6518,5816.0246
cat processes.dat | parallel -j 6,44,28.4400,78.7025,102.9731,8104.2369,5865.9383
cat processes.dat | parallel -j 6,45,28.4400,78.1771,103.4110,8084.3720,5861.0146
cat processes.dat | parallel -j 6,46,28.4400,77.7079,103.3721,8032.8297,5822.8163
cat processes.dat | parallel -j 6,47,28.4400,78.7038,103.2449,8125.7656,5887.4290
cat processes.dat | parallel -j 6,48,28.4400,77.6710,103.6006,8046.7650,5837.8020
cat processes.dat | parallel -j 6,49,28.4400,79.7192,101.8139,8116.5231,5849.3094
#7
cat processes.dat | parallel -j 7,0,28.4400,75.6811,105.1513,7957.9715,5805.6002
cat processes.dat | parallel -j 7,1,28.4400,75.6866,105.3513,7973.6832,5821.1565
cat processes.dat | parallel -j 7,2,28.4400,75.6773,105.7133,8000.0950,5847.8338
cat processes.dat | parallel -j 7,3,28.4400,76.5438,105.1947,8052.0072,5875.1002
cat processes.dat | parallel -j 7,4,28.4400,75.6538,105.6133,7990.0512,5838.4568
cat processes.dat | parallel -j 7,5,28.4400,75.1804,105.6262,7941.0159,5802.8859
cat processes.dat | parallel -j 7,6,28.4400,75.6800,105.2147,7962.6433,5810.3049
cat processes.dat | parallel -j 7,7,28.4400,76.1556,104.8901,7987.9633,5822.0988
cat processes.dat | parallel -j 7,8,28.4400,76.1645,105.4464,8031.2698,5865.1513
cat processes.dat | parallel -j 7,9,28.4400,76.1866,105.4325,8032.5351,5865.7895
